text,label
bought cake @ costco - $20,Food
bought book @ amazon - $10,Shopping
bought shirt @ h&m - $15,Shopping
bought coffee maker @ bed bath & beyond - $50,Home
bought couch @ ikea - $500,Home
bought fridge @ home depot - $1000,Home
bought microwave @ walmart - $50,Home
Paid for pizza @ dominos - 25 bucks,Food
uber fare - rs.150,Transport
rent is due.... 1200,Home
just bought a new phone case @ store - $20,Shopping
gym membership - 75/month,Health
bought groceries from local market - rs. 50,Food
petrol filled - 100,Transport
electricity bill - due 250,Utilities
movie ticket - 150,Entertainment
bought a shirt - $30,Shopping
doctors fee - rs. 500,Health
internet bill - $60,Utilities
bought a coffee @ cafe - 5,Food
car maintenance - $200,Transport
new video game - 60 bucks,Entertainment
bought groceries online - $100,Food
purchased a new bag - 40,Shopping
dentist appointment - 100,Health
water bill - due $30,Utilities
bought a book - rs.200,Shopping
paid for a cab - 25,Transport
bought a new watch - $150,Shopping
gym clothes - 30,Shopping
house cleaning - 50,Home
bought a new laptop - $1000,Shopping
phone bill - due 80,Utilities
eye exam - 20,Health
bought flowers - 15,Shopping
bought a new TV - 800,Shopping
bought a coffee maker - $25,Home
gas bill - due $40,Utilities
bought a new mattress - $200,Home
rent - 1500,Home
bought a new phone - $500,Shopping
bought a gym bag - 20,Shopping
paid for a hotel - $100,Home
bought a new desk - $50,Home
bought a chair - 30,Home
paid for a train ticket - 100,Transport
bought a new cycle - $100,Transport
bought a scooter - 5000,Transport
paid for a movie streaming service - $10,Entertainment
bought a new fridge - $800,Home
bought a new ac - 1500,Home
paid for a music streaming service - $15,Entertainment
bought a new tablet - $300,Shopping
bought a new keyboard - 20,Shopping
paid for a software - $50,Shopping
bought a new mouse - 10,Shopping
paid for a antivirus - 20,Shopping
bought a new bagpack - 50,Shopping
bought a new water bottle - 15,Shopping
paid for a online course - $100,Shopping
bought a new pen drive - 10,Shopping
paid for a magazine subscription - $10,Shopping
bought a new bookshelf - 30,Home
paid for a newspaper subscription - $5,Shopping
bought a new fan - 20,Home
paid for a music instrument - $100,Shopping
bought a new clock - 10,Home
paid for a pet food - 20,Shopping
bought a new plant - 15,Home
paid for a vet visit - 50,Health
bought a new purse - 30,Shopping
paid for a salad - 10,Food
bought a new wallet - 20,Shopping
paid for a coffee - 5,Food
bought a new headphone - 50,Shopping
paid for a burger - 15,Food
bought a new speaker - 100,Shopping
paid for a pizza - 20,Food
bought a new tv stand - 30,Home
paid for a sandwich - 10,Food
bought a new phone case - 15,Shopping
paid for a juice - 5,Food
bought a new backpack - 50,Shopping
paid for a fries - 10,Food
bought a new lunch box - 15,Shopping
paid for a ice cream - 10,Food
bought a new water purifier - 100,Home
paid for a cake - 20,Food
bought a new chair - 50,Home
paid for a donut - 5,Food
bought a new tablet stand - 15,Shopping
paid for a muffin - 10,Food
bought a new phone screen protector - 10,Shopping
paid for a coffee cake - 15,Food
bought a new desk lamp - 20,Home
paid for a hot dog - 10,Food
bought a new file organizer - 10,Home
paid for a taco - 10,Food
bought a new pencil - 5,Shopping
paid for a bagel - 10,Food
bought a new pen - 5,Shopping
paid for a croissant - 10,Food
bought a new notebook - 10,Shopping
paid for a cereal - 10,Food
bought a new folder - 5,Shopping
paid for a orange juice - 10,Food
bought a new stapler - 10,Home
paid for a salad dressing - 10,Food
bought a new tape - 5,Shopping
paid for a bread - 10,Food
bought a new glue - 5,Shopping
paid for a jam - 10,Food
bought a new scissors - 10,Shopping
paid for a honey - 10,Food
bought a new highlighter - 5,Shopping
paid for a peanut butter - 10,Food
bought a new pencil sharpener - 5,Shopping
paid for a chocolate - 10,Food
bought a new ruler - 5,Shopping
paid for a fruit salad - 15,Food
bought a new eraser - 5,Shopping
paid for a granola bar - 10,Food
bought a new calculator - 10,Shopping
